Name,Quantity,Component
"U1",1," Arduino Uno R3"
"KEYPAD1",1," Keypad 4x4"
"SERVO1",1,"Positional Micro Servo"
"PIEZO1",1," Piezo"
"D1",1,"Red LED"
"D2",1,"Green LED"
"1",1," Breadboard Small"
"R1, R2",2,"220 Ω Resistor"
"U2",1,"PCF8574-based, 39 (0x27) LCD 16 x 2 (I2C)"
