Name,Quantity,Component
"U1",1," Arduino Uno R3"
"S1, S2, S3, S4, S5, S6, S7, S8",8," Pushbutton"
"R2, R4, R5, R6, R8, R1, R7",7,"10 kΩ Resistor"
"R3",1,"1 kΩ Resistor"
"PIEZO1",1," Piezo"
