Name,Quantity,Component
"U1",1," Arduino Uno R3"
"1",1," Breadboard Small"
"R1",1,"250 Ω Resistor"
"D1",1,"Blue LED"
"D2",1,"Green LED"
"R2",1,"220 Ω Resistor"
"R3",1,"10 kΩ Resistor"
"S1",1," Pushbutton"
